
1575556974.142607682	26.53	79.75
1575556975.297550062	26.53	79.75
1575556976.451991835	26.53	79.75
1575556977.605893128	25.53	77.95
1575556978.761244118	25.53	77.95
1575556979.915687975	26.53	79.75
1575556981.070285992	25.53	77.95
1575556982.224178994	26.53	79.75
1575556983.377721216	26.53	79.75
1575556984.531786878	26.53	79.75
1575556985.686765173	26.53	79.75
1575556986.840977122	26.53	79.75
1575556987.995315065	27.53	81.55
1575556989.150007912	28.53	83.35
1575556990.306344450	29.53	85.15
1575556991.461754938	29.53	85.15
1575556992.617029723	29.53	85.15
1575556993.776705181	30.53	86.95
1575556994.931612604	30.53	86.95
1575556996.085718931	30.53	86.95
1575556997.239706263	30.53	86.95
1575556998.393502809	31.53	88.75
1575556999.548129784	31.53	88.75
1575557000.702389439	31.53	88.75
1575557001.857136534	31.53	88.75
1575557003.010789461	31.53	88.75
1575557004.164528635	32.53	90.55
1575557005.318717084	31.53	88.75
1575557006.472776537	31.53	88.75
1575557007.627312641	31.53	88.75
1575557008.782532219	31.53	88.75
1575557009.937196026	31.53	88.75
1575557011.092808840	31.53	88.75
1575557012.247034621	31.53	88.75
1575557013.400855958	31.53	88.75
1575557014.555845086	31.53	88.75
1575557015.710715261	31.53	88.75
1575557016.865201824	31.53	88.75
1575557018.019245195	31.53	88.75
1575557019.178877113	30.53	86.95
1575557020.332410461	30.53	86.95
1575557021.488897243	30.53	86.95
1575557022.642949239	30.53	86.95
1575557023.799405939	30.53	86.95
1575557024.954002623	29.53	85.15
1575557026.113465923	29.53	85.15
1575557027.273260085	29.53	85.15
1575557028.433704141	30.53	86.95
1575557029.588030960	29.53	85.15
1575557030.745379294	29.53	85.15
1575557031.900271926	29.53	85.15
1575557033.054537456	29.53	85.15
1575557034.210973240	29.53	85.15
1575557035.365636088	29.53	85.15
1575557036.522384445	29.53	85.15
1575557037.679516662	29.53	85.15
