 MALLOC FUNCTION
----------------------------------------------------------------------------------------
|   bufer size | alloc min | alloc avr | alloc max |  free min |  free avr |  free max |
|        bytes |        ns |        ns |        ns |        ns |        ns |        ns |
----------------------------------------------------------------------------------------
|      2048    |       175 |       202 |       300 |        68 |        84 |       108 |
|      2048 + 1|       175 |       202 |       302 |        67 |        77 |       113 |
|      4096    |       233 |       269 |       397 |        68 |        79 |       120 |
|      4096 + 1|       233 |       259 |       359 |        65 |        76 |       113 |
|      8192    |       350 |       392 |       552 |        67 |        79 |       122 |
|      8192 + 1|       351 |       382 |       501 |        67 |        77 |       117 |
|     16384    |       585 |      1280 |      3900 |        68 |        92 |       188 |
|     16384 + 1|       583 |       630 |       777 |        68 |        82 |       134 |
|     32768    |      1148 |      2850 |      9385 |        67 |        89 |       175 |
|     32768 + 1|      1150 |      1224 |      1505 |        68 |        82 |       132 |
|     65536    |      3160 |      6719 |     20834 |        69 |        89 |       173 |
|     65536 + 1|      3087 |      3178 |      3211 |        67 |        80 |       128 |
|    131072    |      6301 |     14177 |     45606 |        67 |        90 |       177 |
|    131072 + 1|      6228 |      6308 |      6333 |        67 |        82 |       133 |
|    262144    |     12603 |     29275 |     95909 |        71 |        94 |       178 |
|    262144 + 1|     12612 |     12628 |     12634 |        69 |        83 |       137 |
|    524288    |      4257 |      4603 |      5737 |      3519 |      3862 |      5019 |
|    524288 + 1|      4182 |      4291 |      4618 |      3483 |      3595 |      3967 |
|   1048576    |      4193 |      4288 |      4539 |      3872 |      3982 |      4315 |
|   1048576 + 1|      4200 |      4287 |      4534 |      3887 |      3979 |      4269 |
|   2097152    |      4611 |      4750 |      5097 |      5335 |      5472 |      5784 |
|   2097152 + 1|      4634 |      5022 |      5921 |      5334 |      5486 |      5773 |
|   4194304    |      4634 |      4780 |      5117 |      5370 |      5795 |      6735 |
|   4194304 + 1|      4616 |      4733 |      5077 |      5322 |      5425 |      5655 |
|   8388608    |      4674 |      4801 |      5075 |      5379 |      5511 |      5815 |
|   8388608 + 1|      4641 |      4740 |      5031 |      5350 |      5443 |      5715 |
|  16777216    |      4666 |      4775 |      5109 |      5422 |      5613 |      5939 |
|  16777216 + 1|      4650 |      4978 |      5679 |      5390 |      5508 |      5755 |
|  33554432    |      4641 |      4770 |      5065 |      5560 |      5950 |      6996 |
|  33554432 + 1|      4691 |      4911 |      5135 |      5550 |      5652 |      5915 |
|  67108864    |      4636 |      4771 |      5110 |      5874 |      6020 |      6203 |
|  67108864 + 1|      4667 |      4788 |      5065 |      5844 |      6010 |      6269 |
| 134217728    |      4672 |      4934 |      5361 |      6469 |      6686 |      7402 |
| 134217728 + 1|      4665 |      4997 |      5830 |      6452 |      6586 |      6859 |
| 268435456    |      4654 |      4760 |      5045 |      7706 |      7849 |      8126 |
| 268435456 + 1|      4678 |      5200 |      6711 |      7748 |     24586 |     91107 |
| 536870912    |      4645 |      4776 |      5124 |     10079 |     10206 |     10516 |
| 536870912 + 1|      4682 |      4793 |      5139 |     10061 |     10172 |     10484 |
|1073741824    |      5573 |      5762 |      6072 |     15005 |     15152 |     15442 |
|1073741824 + 1|      5529 |      5947 |      6595 |     14999 |     15278 |     16222 |
|2147483648    |      4702 |      5026 |      6163 |     14979 |     16352 |     21399 |
|2147483648 + 1|      4688 |      5035 |      6001 |     14921 |     15131 |     15570 |
----------------------------------------------------------------------------------------
 ALLOCA FUNCTION
----------------------------------------------------------------------------------------
|   bufer size | alloc min | alloc avr | alloc max |  free min |  free avr |  free max |
|        bytes |        ns |        ns |        ns |        ns |        ns |        ns |
----------------------------------------------------------------------------------------
|         1    |        55 |        57 |        60 |         0 |         0 |         0 |
|         1 + 1|        56 |        56 |        57 |         0 |         0 |         0 |
|         2    |        55 |        57 |        60 |         0 |         0 |         0 |
|         2 + 1|        55 |        57 |        59 |         0 |         0 |         0 |
|         4    |        56 |        61 |        78 |         0 |         0 |         0 |
|         4 + 1|        55 |        57 |        61 |         0 |         0 |         0 |
|         8    |        55 |        56 |        58 |         0 |         0 |         0 |
|         8 + 1|        54 |        56 |        59 |         0 |         0 |         0 |
|        16    |        55 |        56 |        57 |         0 |         0 |         0 |
|        16 + 1|        55 |        56 |        60 |         0 |         0 |         0 |
|        32    |        55 |        56 |        58 |         0 |         0 |         0 |
|        32 + 1|        56 |        56 |        57 |         0 |         0 |         0 |
|        64    |        55 |        56 |        57 |         0 |         0 |         0 |
|        64 + 1|        55 |        56 |        58 |         0 |         0 |         0 |
|       128    |        55 |        55 |        57 |         0 |         0 |         0 |
|       128 + 1|        55 |        56 |        59 |         0 |         0 |         0 |
|       256    |        55 |        56 |        57 |         0 |         0 |         0 |
|       256 + 1|        55 |        56 |        59 |         0 |         0 |         0 |
|       512    |        54 |        56 |        58 |         0 |         0 |         0 |
|       512 + 1|        54 |        56 |        58 |         0 |         0 |         0 |
|      1024    |        54 |        55 |        57 |         0 |         0 |         0 |
|      1024 + 1|        54 |        56 |        58 |         0 |         0 |         0 |
|      2048    |        54 |      1282 |      3714 |         0 |         0 |         0 |
|      2048 + 1|        54 |        61 |        69 |         0 |         0 |         0 |
